,x1,x2,x1_label,x2_label,class_label
0,0,1,5,0,-5
1,1,2,0,4,4
2,2,3,4,1,-3
3,3,4,1,9,8
4,4,5,9,2,-7
5,5,6,2,1,-1
6,6,7,1,3,2
7,7,8,3,1,-2
8,8,9,1,4,3
9,9,10,4,3,-1
10,10,11,3,5,2
11,11,12,5,3,-2
12,12,13,3,6,3
13,13,14,6,1,-5
14,14,15,1,7,6
15,15,16,7,2,-5
16,16,17,2,8,6
17,17,18,8,6,-2
18,18,19,6,9,3
19,19,20,9,4,-5
20,20,21,4,0,-4
21,21,22,0,9,9
22,22,23,9,1,-8
23,23,24,1,1,0
24,24,25,1,2,1
25,25,26,2,4,2
26,26,27,4,3,-1
27,27,28,3,2,-1
28,28,29,2,7,5
29,29,30,7,3,-4
30,30,31,3,8,5
31,31,32,8,6,-2
32,32,33,6,9,3
33,33,34,9,0,-9
34,34,35,0,5,5
35,35,36,5,6,1
36,36,37,6,0,-6
37,37,38,0,7,7
38,38,39,7,6,-1
39,39,40,6,1,-5
40,40,41,1,8,7
41,41,42,8,7,-1
42,42,43,7,9,2
43,43,44,9,3,-6
44,44,45,3,9,6
45,45,46,9,8,-1
46,46,47,8,5,-3
47,47,48,5,9,4
48,48,49,9,3,-6
49,49,50,3,3,0
50,50,51,3,0,-3
51,51,52,0,7,7
52,52,53,7,4,-3
53,53,54,4,9,5
54,54,55,9,8,-1
55,55,56,8,0,-8
56,56,57,0,9,9
57,57,58,9,4,-5
58,58,59,4,1,-3
59,59,60,1,4,3
60,60,61,4,4,0
61,61,62,4,6,2
62,62,63,6,0,-6
63,63,64,0,4,4
64,64,65,4,5,1
65,65,66,5,6,1
66,66,67,6,1,-5
67,67,68,1,0,-1
68,68,69,0,0,0
69,69,70,0,1,1
70,70,71,1,7,6
71,71,72,7,1,-6
72,72,73,1,6,5
73,73,74,6,3,-3
74,74,75,3,0,-3
75,75,76,0,2,2
76,76,77,2,1,-1
77,77,78,1,1,0
78,78,79,1,7,6
79,79,80,7,9,2
80,80,81,9,0,-9
81,81,82,0,2,2
82,82,83,2,6,4
83,83,84,6,7,1
84,84,85,7,8,1
85,85,86,8,3,-5
86,86,87,3,9,6
87,87,88,9,0,-9
88,88,89,0,4,4
89,89,90,4,6,2
90,90,91,6,7,1
91,91,92,7,4,-3
92,92,93,4,6,2
93,93,94,6,8,2
94,94,95,8,0,-8
95,95,96,0,7,7
96,96,97,7,8,1
97,97,98,8,3,-5
98,98,99,3,1,-2
99,99,100,1,5,4
100,100,101,5,7,2
101,101,102,7,1,-6
102,102,103,1,7,6
103,103,104,7,1,-6
104,104,105,1,1,0
105,105,106,1,6,5
106,106,107,6,3,-3
107,107,108,3,0,-3
108,108,109,0,2,2
109,109,110,2,9,7
110,110,111,9,3,-6
111,111,112,3,1,-2
112,112,113,1,1,0
113,113,114,1,0,-1
114,114,115,0,4,4
115,115,116,4,9,5
116,116,117,9,2,-7
117,117,118,2,0,-2
118,118,119,0,0,0
119,119,120,0,2,2
120,120,121,2,0,-2
121,121,122,0,2,2
122,122,123,2,7,5
123,123,124,7,1,-6
124,124,125,1,8,7
125,125,126,8,6,-2
126,126,127,6,4,-2
127,127,128,4,1,-3
128,128,129,1,6,5
129,129,130,6,3,-3
130,130,131,3,4,1
131,131,132,4,5,1
132,132,133,5,9,4
133,133,134,9,1,-8
134,134,135,1,3,2
135,135,136,3,3,0
136,136,137,3,8,5
137,137,138,8,5,-3
138,138,139,5,4,-1
139,139,140,4,7,3
140,140,141,7,7,0
141,141,142,7,4,-3
142,142,143,4,2,-2
143,143,144,2,8,6
144,144,145,8,5,-3
145,145,146,5,8,3
146,146,147,8,6,-2
147,147,148,6,7,1
148,148,149,7,3,-4
149,149,150,3,4,1
150,150,151,4,6,2
151,151,152,6,1,-5
152,152,153,1,9,8
153,153,154,9,9,0
154,154,155,9,6,-3
155,155,156,6,0,-6
156,156,157,0,3,3
157,157,158,3,7,4
158,158,159,7,2,-5
159,159,160,2,8,6
160,160,161,8,2,-6
161,161,162,2,9,7
162,162,163,9,4,-5
163,163,164,4,4,0
164,164,165,4,6,2
165,165,166,6,4,-2
166,166,167,4,9,5
167,167,168,9,7,-2
168,168,169,7,0,-7
169,169,170,0,9,9
170,170,171,9,2,-7
171,171,172,2,9,7
172,172,173,9,5,-4
173,173,174,5,1,-4
174,174,175,1,5,4
175,175,176,5,9,4
176,176,177,9,1,-8
177,177,178,1,2,1
178,178,179,2,3,1
179,179,180,3,2,-1
180,180,181,2,3,1
181,181,182,3,5,2
182,182,183,5,9,4
183,183,184,9,1,-8
184,184,185,1,7,6
185,185,186,7,6,-1
186,186,187,6,2,-4
187,187,188,2,8,6
188,188,189,8,2,-6
189,189,190,2,2,0
190,190,191,2,5,3
191,191,192,5,0,-5
192,192,193,0,7,7
193,193,194,7,4,-3
194,194,195,4,9,5
195,195,196,9,7,-2
196,196,197,7,8,1
197,197,198,8,3,-5
198,198,199,3,2,-1
199,199,200,2,1,-1
200,200,201,1,1,0
201,201,202,1,8,7
202,202,203,8,3,-5
203,203,204,3,6,3
204,204,205,6,1,-5
205,205,206,1,0,-1
206,206,207,0,3,3
207,207,208,3,1,-2
208,208,209,1,0,-1
209,209,210,0,0,0
210,210,211,0,1,1
211,211,212,1,7,6
212,212,213,7,2,-5
213,213,214,2,7,5
214,214,215,7,3,-4
215,215,216,3,0,-3
216,216,217,0,4,4
217,217,218,4,6,2
218,218,219,6,5,-1
219,219,220,5,2,-3
220,220,221,2,6,4
221,221,222,6,4,-2
222,222,223,4,7,3
223,223,224,7,1,-6
224,224,225,1,8,7
225,225,226,8,9,1
226,226,227,9,9,0
227,227,228,9,3,-6
228,228,229,3,0,-3
229,229,230,0,7,7
230,230,231,7,1,-6
231,231,232,1,0,-1
232,232,233,0,2,2
233,233,234,2,0,-2
234,234,235,0,3,3
235,235,236,3,5,2
236,236,237,5,4,-1
237,237,238,4,6,2
238,238,239,6,5,-1
239,239,240,5,8,3
240,240,241,8,6,-2
241,241,242,6,3,-3
242,242,243,3,7,4
243,243,244,7,5,-2
244,244,245,5,8,3
245,245,246,8,0,-8
246,246,247,0,9,9
247,247,248,9,1,-8
248,248,249,1,0,-1
249,249,250,0,3,3
250,250,251,3,1,-2
251,251,252,1,2,1
252,252,253,2,2,0
253,253,254,2,3,1
254,254,255,3,3,0
255,255,256,3,6,3
256,256,257,6,4,-2
257,257,258,4,7,3
258,258,259,7,5,-2
259,259,260,5,0,-5
260,260,261,0,6,6
261,261,262,6,2,-4
262,262,263,2,7,5
263,263,264,7,9,2
264,264,265,9,8,-1
265,265,266,8,5,-3
266,266,267,5,9,4
267,267,268,9,2,-7
268,268,269,2,1,-1
269,269,270,1,1,0
270,270,271,1,4,3
271,271,272,4,4,0
272,272,273,4,5,1
273,273,274,5,6,1
274,274,275,6,4,-2
275,275,276,4,1,-3
276,276,277,1,2,1
277,277,278,2,5,3
278,278,279,5,3,-2
279,279,280,3,9,6
280,280,281,9,3,-6
281,281,282,3,9,6
282,282,283,9,0,-9
283,283,284,0,5,5
284,284,285,5,9,4
285,285,286,9,6,-3
286,286,287,6,5,-1
287,287,288,5,7,2
288,288,289,7,4,-3
289,289,290,4,1,-3
290,290,291,1,3,2
291,291,292,3,4,1
292,292,293,4,0,-4
293,293,294,0,4,4
294,294,295,4,8,4
295,295,296,8,0,-8
296,296,297,0,4,4
297,297,298,4,3,-1
298,298,299,3,6,3
299,299,300,6,8,2
300,300,301,8,7,-1
301,301,302,7,6,-1
302,302,303,6,0,-6
303,303,304,0,9,9
304,304,305,9,7,-2
305,305,306,7,5,-2
306,306,307,5,7,2
307,307,308,7,2,-5
308,308,309,2,1,-1
309,309,310,1,1,0
310,310,311,1,6,5
311,311,312,6,8,2
312,312,313,8,9,1
313,313,314,9,4,-5
314,314,315,4,1,-3
315,315,316,1,5,4
316,316,317,5,2,-3
317,317,318,2,2,0
318,318,319,2,9,7
319,319,320,9,0,-9
320,320,321,0,3,3
321,321,322,3,9,6
322,322,323,9,6,-3
323,323,324,6,7,1
324,324,325,7,2,-5
325,325,326,2,0,-2
326,326,327,0,3,3
327,327,328,3,5,2
328,328,329,5,4,-1
329,329,330,4,3,-1
330,330,331,3,6,3
331,331,332,6,5,-1
332,332,333,5,8,3
333,333,334,8,9,1
334,334,335,9,5,-4
335,335,336,5,4,-1
336,336,337,4,7,3
337,337,338,7,4,-3
338,338,339,4,2,-2
339,339,340,2,7,5
340,340,341,7,3,-4
341,341,342,3,4,1
342,342,343,4,8,4
343,343,344,8,9,1
344,344,345,9,1,-8
345,345,346,1,9,8
346,346,347,9,2,-7
347,347,348,2,8,6
348,348,349,8,7,-1
349,349,350,7,9,2
350,350,351,9,1,-8
351,351,352,1,8,7
352,352,353,8,7,-1
353,353,354,7,4,-3
354,354,355,4,1,-3
355,355,356,1,3,2
356,356,357,3,1,-2
357,357,358,1,1,0
358,358,359,1,0,-1
359,359,360,0,2,2
360,360,361,2,3,1
361,361,362,3,9,6
362,362,363,9,4,-5
363,363,364,4,9,5
364,364,365,9,2,-7
365,365,366,2,1,-1
366,366,367,1,6,5
367,367,368,6,8,2
368,368,369,8,4,-4
369,369,370,4,7,3
370,370,371,7,7,0
371,371,372,7,4,-3
372,372,373,4,4,0
373,373,374,4,9,5
374,374,375,9,2,-7
375,375,376,2,5,3
376,376,377,5,7,2
377,377,378,7,2,-5
378,378,379,2,4,2
379,379,380,4,4,0
380,380,381,4,2,-2
381,381,382,2,1,-1
382,382,383,1,9,8
383,383,384,9,7,-2
384,384,385,7,2,-5
385,385,386,2,8,6
386,386,387,8,7,-1
387,387,388,7,6,-1
388,388,389,6,9,3
389,389,390,9,2,-7
390,390,391,2,2,0
391,391,392,2,3,1
392,392,393,3,8,5
393,393,394,8,1,-7
394,394,395,1,6,5
395,395,396,6,5,-1
396,396,397,5,1,-4
397,397,398,1,1,0
398,398,399,1,0,-1
399,399,400,0,2,2
400,400,401,2,6,4
401,401,402,6,4,-2
402,402,403,4,5,1
403,403,404,5,8,3
404,404,405,8,3,-5
405,405,406,3,1,-2
406,406,407,1,5,4
407,407,408,5,1,-4
408,408,409,1,9,8
409,409,410,9,2,-7
410,410,411,2,7,5
411,411,412,7,4,-3
412,412,413,4,4,0
413,413,414,4,4,0
414,414,415,4,8,4
415,415,416,8,1,-7
416,416,417,1,5,4
417,417,418,5,8,3
418,418,419,8,9,1
419,419,420,9,5,-4
420,420,421,5,6,1
421,421,422,6,7,1
422,422,423,7,9,2
423,423,424,9,9,0
424,424,425,9,3,-6
425,425,426,3,7,4
426,426,427,7,0,-7
427,427,428,0,9,9
428,428,429,9,0,-9
429,429,430,0,6,6
430,430,431,6,6,0
431,431,432,6,2,-4
432,432,433,2,3,1
433,433,434,3,9,6
434,434,435,9,0,-9
435,435,436,0,7,7
436,436,437,7,5,-2
437,437,438,5,4,-1
438,438,439,4,8,4
439,439,440,8,0,-8
440,440,441,0,9,9
441,441,442,9,4,-5
442,442,443,4,1,-3
443,443,444,1,2,1
444,444,445,2,8,6
445,445,446,8,7,-1
446,446,447,7,1,-6
447,447,448,1,2,1
448,448,449,2,6,4
449,449,450,6,1,-5
450,450,451,1,0,-1
451,451,452,0,3,3
452,452,453,3,0,-3
453,453,454,0,1,1
454,454,455,1,1,0
455,455,456,1,8,7
456,456,457,8,2,-6
457,457,458,2,0,-2
458,458,459,0,3,3
459,459,460,3,9,6
460,460,461,9,4,-5
461,461,462,4,0,-4
462,462,463,0,5,5
463,463,464,5,0,-5
464,464,465,0,6,6
465,465,466,6,1,-5
466,466,467,1,7,6
467,467,468,7,7,0
468,468,469,7,8,1
469,469,470,8,1,-7
470,470,471,1,9,8
471,471,472,9,2,-7
472,472,473,2,0,-2
473,473,474,0,5,5
474,474,475,5,1,-4
475,475,476,1,2,1
476,476,477,2,2,0
477,477,478,2,7,5
478,478,479,7,3,-4
479,479,480,3,5,2
480,480,481,5,4,-1
481,481,482,4,9,5
482,482,483,9,7,-2
483,483,484,7,1,-6
484,484,485,1,8,7
485,485,486,8,3,-5
486,486,487,3,9,6
487,487,488,9,6,-3
488,488,489,6,0,-6
489,489,490,0,3,3
490,490,491,3,1,-2
491,491,492,1,1,0
492,492,493,1,2,1
493,493,494,2,6,4
494,494,495,6,3,-3
495,495,496,3,5,2
496,496,497,5,7,2
497,497,498,7,6,-1
498,498,499,6,8,2
499,499,500,8,3,-5
500,500,501,3,9,6
501,501,502,9,5,-4
502,502,503,5,8,3
503,503,504,8,5,-3
504,504,505,5,7,2
505,505,506,7,6,-1
506,506,507,6,1,-5
507,507,508,1,1,0
508,508,509,1,3,2
509,509,510,3,1,-2
510,510,511,1,7,6
511,511,512,7,5,-2
512,512,513,5,5,0
513,513,514,5,5,0
514,514,515,5,2,-3
515,515,516,2,5,3
516,516,517,5,8,3
517,517,518,8,7,-1
518,518,519,7,0,-7
519,519,520,0,9,9
520,520,521,9,7,-2
521,521,522,7,7,0
522,522,523,7,5,-2
523,523,524,5,0,-5
524,524,525,0,9,9
525,525,526,9,0,-9
526,526,527,0,0,0
527,527,528,0,8,8
528,528,529,8,9,1
529,529,530,9,2,-7
530,530,531,2,4,2
531,531,532,4,8,4
532,532,533,8,1,-7
533,533,534,1,6,5
534,534,535,6,1,-5
535,535,536,1,6,5
536,536,537,6,5,-1
537,537,538,5,1,-4
538,538,539,1,8,7
539,539,540,8,3,-5
540,540,541,3,4,1
541,541,542,4,0,-4
542,542,543,0,5,5
543,543,544,5,5,0
544,544,545,5,8,3
545,545,546,8,3,-5
546,546,547,3,6,3
547,547,548,6,2,-4
548,548,549,2,3,1
549,549,550,3,9,6
550,550,551,9,2,-7
551,551,552,2,1,-1
552,552,553,1,1,0
553,553,554,1,5,4
554,554,555,5,2,-3
555,555,556,2,1,-1
556,556,557,1,3,2
557,557,558,3,2,-1
558,558,559,2,8,6
559,559,560,8,7,-1
560,560,561,7,3,-4
561,561,562,3,7,4
562,562,563,7,2,-5
563,563,564,2,4,2
564,564,565,4,6,2
565,565,566,6,9,3
566,566,567,9,7,-2
567,567,568,7,2,-5
568,568,569,2,4,2
569,569,570,4,2,-2
570,570,571,2,8,6
571,571,572,8,1,-7
572,572,573,1,1,0
573,573,574,1,3,2
574,574,575,3,8,5
575,575,576,8,4,-4
576,576,577,4,0,-4
577,577,578,0,6,6
578,578,579,6,5,-1
579,579,580,5,9,4
580,580,581,9,3,-6
581,581,582,3,0,-3
582,582,583,0,9,9
583,583,584,9,2,-7
584,584,585,2,4,2
585,585,586,4,7,3
586,586,587,7,1,-6
587,587,588,1,2,1
588,588,589,2,9,7
589,589,590,9,4,-5
590,590,591,4,2,-2
591,591,592,2,6,4
592,592,593,6,1,-5
593,593,594,1,8,7
594,594,595,8,9,1
595,595,596,9,0,-9
596,596,597,0,6,6
597,597,598,6,6,0
598,598,599,6,7,1
599,599,600,7,9,2
600,600,601,9,9,0
601,601,602,9,8,-1
602,602,603,8,0,-8
603,603,604,0,1,1
604,604,605,1,4,3
605,605,606,4,4,0
606,606,607,4,6,2
607,607,608,6,7,1
608,608,609,7,1,-6
609,609,610,1,5,4
610,610,611,5,7,2
611,611,612,7,0,-7
612,612,613,0,3,3
613,613,614,3,5,2
614,614,615,5,8,3
615,615,616,8,4,-4
616,616,617,4,7,3
617,617,618,7,1,-6
618,618,619,1,2,1
619,619,620,2,5,3
620,620,621,5,9,4
621,621,622,9,5,-4
622,622,623,5,6,1
623,623,624,6,7,1
624,624,625,7,5,-2
625,625,626,5,9,4
626,626,627,9,8,-1
627,627,628,8,8,0
628,628,629,8,3,-5
629,629,630,3,6,3
630,630,631,6,9,3
631,631,632,9,7,-2
632,632,633,7,0,-7
633,633,634,0,7,7
634,634,635,7,5,-2
635,635,636,5,7,2
636,636,637,7,1,-6
637,637,638,1,1,0
638,638,639,1,0,-1
639,639,640,0,7,7
640,640,641,7,9,2
641,641,642,9,2,-7
642,642,643,2,3,1
643,643,644,3,7,4
644,644,645,7,3,-4
645,645,646,3,2,-1
646,646,647,2,4,2
647,647,648,4,1,-3
648,648,649,1,6,5
649,649,650,6,2,-4
650,650,651,2,7,5
651,651,652,7,5,-2
652,652,653,5,5,0
653,653,654,5,7,2
654,654,655,7,4,-3
655,655,656,4,0,-4
656,656,657,0,2,2
657,657,658,2,6,4
658,658,659,6,3,-3
659,659,660,3,6,3
660,660,661,6,4,-2
661,661,662,4,0,-4
662,662,663,0,4,4
663,663,664,4,2,-2
664,664,665,2,6,4
665,665,666,6,0,-6
666,666,667,0,0,0
667,667,668,0,0,0
668,668,669,0,0,0
669,669,670,0,3,3
670,670,671,3,1,-2
671,671,672,1,6,5
672,672,673,6,2,-4
673,673,674,2,2,0
674,674,675,2,3,1
675,675,676,3,1,-2
676,676,677,1,4,3
677,677,678,4,1,-3
678,678,679,1,5,4
679,679,680,5,4,-1
680,680,681,4,6,2
681,681,682,6,4,-2
682,682,683,4,7,3
683,683,684,7,2,-5
684,684,685,2,8,6
685,685,686,8,7,-1
686,686,687,7,9,2
687,687,688,9,2,-7
688,688,689,2,0,-2
689,689,690,0,5,5
690,690,691,5,1,-4
691,691,692,1,4,3
692,692,693,4,2,-2
693,693,694,2,8,6
694,694,695,8,3,-5
695,695,696,3,2,-1
696,696,697,2,4,2
697,697,698,4,1,-3
698,698,699,1,5,4
699,699,700,5,4,-1
700,700,701,4,6,2
701,701,702,6,0,-6
702,702,703,0,7,7
703,703,704,7,9,2
704,704,705,9,8,-1
705,705,706,8,4,-4
706,706,707,4,9,5
707,707,708,9,8,-1
708,708,709,8,0,-8
709,709,710,0,1,1
710,710,711,1,1,0
711,711,712,1,0,-1
712,712,713,0,2,2
713,713,714,2,2,0
714,714,715,2,3,1
715,715,716,3,2,-1
716,716,717,2,4,2
717,717,718,4,4,0
718,718,719,4,5,1
719,719,720,5,8,3
720,720,721,8,6,-2
721,721,722,6,5,-1
722,722,723,5,7,2
723,723,724,7,7,0
724,724,725,7,8,1
725,725,726,8,8,0
726,726,727,8,9,1
727,727,728,9,7,-2
728,728,729,7,4,-3
729,729,730,4,7,3
730,730,731,7,3,-4
731,731,732,3,2,-1
732,732,733,2,0,-2
733,733,734,0,8,8
734,734,735,8,6,-2
735,735,736,6,8,2
736,736,737,8,6,-2
737,737,738,6,1,-5
738,738,739,1,6,5
739,739,740,6,8,2
740,740,741,8,9,1
741,741,742,9,4,-5
742,742,743,4,0,-4
743,743,744,0,9,9
744,744,745,9,0,-9
745,745,746,0,4,4
746,746,747,4,1,-3
747,747,748,1,5,4
748,748,749,5,4,-1
749,749,750,4,7,3
750,750,751,7,5,-2
751,751,752,5,3,-2
752,752,753,3,7,4
753,753,754,7,4,-3
754,754,755,4,9,5
755,755,756,9,8,-1
756,756,757,8,5,-3
757,757,758,5,8,3
758,758,759,8,6,-2
759,759,760,6,3,-3
760,760,761,3,8,5
761,761,762,8,6,-2
762,762,763,6,9,3
763,763,764,9,9,0
764,764,765,9,1,-8
765,765,766,1,8,7
766,766,767,8,3,-5
767,767,768,3,5,2
768,768,769,5,8,3
769,769,770,8,6,-2
770,770,771,6,5,-1
771,771,772,5,9,4
772,772,773,9,7,-2
773,773,774,7,2,-5
774,774,775,2,5,3
775,775,776,5,0,-5
776,776,777,0,8,8
777,777,778,8,5,-3
778,778,779,5,1,-4
779,779,780,1,1,0
780,780,781,1,0,-1
781,781,782,0,9,9
782,782,783,9,1,-8
783,783,784,1,8,7
784,784,785,8,6,-2
785,785,786,6,7,1
786,786,787,7,0,-7
787,787,788,0,9,9
788,788,789,9,3,-6
789,789,790,3,0,-3
790,790,791,0,8,8
791,791,792,8,8,0
792,792,793,8,9,1
793,793,794,9,6,-3
794,794,795,6,7,1
795,795,796,7,8,1
796,796,797,8,4,-4
797,797,798,4,7,3
798,798,799,7,5,-2
799,799,800,5,9,4
800,800,801,9,2,-7
801,801,802,2,6,4
802,802,803,6,7,1
803,803,804,7,4,-3
804,804,805,4,5,1
805,805,806,5,9,4
806,806,807,9,2,-7
807,807,808,2,3,1
808,808,809,3,1,-2
809,809,810,1,6,5
810,810,811,6,3,-3
811,811,812,3,9,6
812,812,813,9,2,-7
813,813,814,2,2,0
814,814,815,2,5,3
815,815,816,5,6,1
816,816,817,6,8,2
817,817,818,8,0,-8
818,818,819,0,7,7
819,819,820,7,7,0
820,820,821,7,1,-6
821,821,822,1,9,8
822,822,823,9,8,-1
823,823,824,8,7,-1
824,824,825,7,0,-7
825,825,826,0,9,9
826,826,827,9,9,0
827,827,828,9,4,-5
828,828,829,4,6,2
829,829,830,6,2,-4
830,830,831,2,8,6
831,831,832,8,5,-3
832,832,833,5,1,-4
833,833,834,1,4,3
834,834,835,4,1,-3
835,835,836,1,5,4
836,836,837,5,5,0
837,837,838,5,1,-4
838,838,839,1,7,6
839,839,840,7,3,-4
840,840,841,3,6,3
841,841,842,6,4,-2
842,842,843,4,3,-1
843,843,844,3,2,-1
844,844,845,2,5,3
845,845,846,5,6,1
846,846,847,6,4,-2
847,847,848,4,4,0
848,848,849,4,0,-4
849,849,850,0,4,4
850,850,851,4,4,0
851,851,852,4,6,2
852,852,853,6,7,1
853,853,854,7,2,-5
854,854,855,2,4,2
855,855,856,4,3,-1
856,856,857,3,3,0
857,857,858,3,8,5
858,858,859,8,0,-8
859,859,860,0,0,0
860,860,861,0,3,3
861,861,862,3,2,-1
862,862,863,2,2,0
863,863,864,2,9,7
864,864,865,9,8,-1
865,865,866,8,2,-6
866,866,867,2,3,1
867,867,868,3,7,4
868,868,869,7,0,-7
869,869,870,0,1,1
870,870,871,1,1,0
871,871,872,1,0,-1
872,872,873,0,2,2
873,873,874,2,3,1
874,874,875,3,3,0
875,875,876,3,8,5
876,876,877,8,4,-4
877,877,878,4,3,-1
878,878,879,3,5,2
879,879,880,5,7,2
880,880,881,7,6,-1
881,881,882,6,4,-2
882,882,883,4,7,3
883,883,884,7,7,0
884,884,885,7,8,1
885,885,886,8,5,-3
886,886,887,5,9,4
887,887,888,9,7,-2
888,888,889,7,0,-7
889,889,890,0,3,3
890,890,891,3,1,-2
891,891,892,1,6,5
892,892,893,6,2,-4
893,893,894,2,4,2
894,894,895,4,3,-1
895,895,896,3,4,1
896,896,897,4,4,0
897,897,898,4,7,3
898,898,899,7,5,-2
899,899,900,5,9,4
900,900,901,9,6,-3
901,901,902,6,9,3
902,902,903,9,0,-9
903,903,904,0,7,7
904,904,905,7,1,-6
905,905,906,1,4,3
906,906,907,4,2,-2
907,907,908,2,7,5
908,908,909,7,3,-4
909,909,910,3,6,3
910,910,911,6,7,1
911,911,912,7,5,-2
912,912,913,5,8,3
913,913,914,8,4,-4
914,914,915,4,5,1
915,915,916,5,5,0
916,916,917,5,2,-3
917,917,918,2,7,5
918,918,919,7,1,-6
919,919,920,1,1,0
920,920,921,1,5,4
921,921,922,5,6,1
922,922,923,6,8,2
