,x1,x2,x1_label,x2_label,class_label
0,33,34,9,0,-9
1,80,81,9,0,-9
2,87,88,9,0,-9
3,282,283,9,0,-9
4,319,320,9,0,-9
5,428,429,9,0,-9
6,434,435,9,0,-9
7,525,526,9,0,-9
8,595,596,9,0,-9
9,744,745,9,0,-9
10,902,903,9,0,-9
11,1027,1028,9,0,-9
12,1167,1168,9,0,-9
13,1194,1195,9,0,-9
14,1370,1371,9,0,-9
15,1500,1501,9,0,-9
16,1728,1729,9,0,-9
17,1875,1876,9,0,-9
18,1903,1904,9,0,-9
19,1925,1926,9,0,-9
20,1962,1963,9,0,-9
21,1968,1969,9,0,-9
22,2099,2100,9,0,-9
23,2351,2352,9,0,-9
24,2434,2435,9,0,-9
25,2728,2729,9,0,-9
26,2764,2765,9,0,-9
27,2934,2935,9,0,-9
28,2973,2974,9,0,-9
29,3000,3001,9,0,-9
30,3020,3021,9,0,-9
31,3528,3529,9,0,-9
32,3533,3534,9,0,-9
33,3621,3622,9,0,-9
34,3742,3743,9,0,-9
35,4026,4027,9,0,-9
36,4122,4123,9,0,-9
37,4158,4159,9,0,-9
38,4219,4220,9,0,-9
39,4244,4245,9,0,-9
40,4315,4316,9,0,-9
41,4320,4321,9,0,-9
42,4555,4556,9,0,-9
43,4606,4607,9,0,-9
44,4747,4748,9,0,-9
45,5130,5131,9,0,-9
46,5201,5202,9,0,-9
47,5316,5317,9,0,-9
48,5320,5321,9,0,-9
49,5339,5340,9,0,-9
50,5341,5342,9,0,-9
51,5501,5502,9,0,-9
52,5559,5560,9,0,-9
53,5607,5608,9,0,-9
54,5614,5615,9,0,-9
55,5645,5646,9,0,-9
56,5664,5665,9,0,-9
57,5746,5747,9,0,-9
58,5829,5830,9,0,-9
59,5937,5938,9,0,-9
60,6145,6146,9,0,-9
61,6295,6296,9,0,-9
62,6301,6302,9,0,-9
63,6460,6461,9,0,-9
64,6699,6700,9,0,-9
65,6790,6791,9,0,-9
66,6922,6923,9,0,-9
67,6934,6935,9,0,-9
68,6969,6970,9,0,-9
69,7061,7062,9,0,-9
70,7157,7158,9,0,-9
71,7180,7181,9,0,-9
72,7505,7506,9,0,-9
73,7647,7648,9,0,-9
74,7690,7691,9,0,-9
75,7727,7728,9,0,-9
76,7812,7813,9,0,-9
77,7873,7874,9,0,-9
78,7893,7894,9,0,-9
79,7904,7905,9,0,-9
80,7947,7948,9,0,-9
81,7977,7978,9,0,-9
82,8015,8016,9,0,-9
83,8271,8272,9,0,-9
84,8287,8288,9,0,-9
85,8308,8309,9,0,-9
86,8322,8323,9,0,-9
87,8448,8449,9,0,-9
88,8468,8469,9,0,-9
89,8514,8515,9,0,-9
90,8702,8703,9,0,-9
91,8837,8838,9,0,-9
92,8968,8969,9,0,-9
93,9002,9003,9,0,-9
94,9066,9067,9,0,-9
95,9150,9151,9,0,-9
96,9504,9505,9,0,-9
97,9752,9753,9,0,-9
98,9876,9877,9,0,-9
99,9889,9890,9,0,-9
100,9933,9934,9,0,-9
101,10004,10005,9,0,-9
102,10070,10071,9,0,-9
103,10166,10167,9,0,-9
104,10438,10439,9,0,-9
105,10478,10479,9,0,-9
106,10529,10530,9,0,-9
107,10746,10747,9,0,-9
108,10772,10773,9,0,-9
109,10780,10781,9,0,-9
110,10820,10821,9,0,-9
111,10839,10840,9,0,-9
112,10848,10849,9,0,-9
113,10860,10861,9,0,-9
114,11090,11091,9,0,-9
115,11186,11187,9,0,-9
116,11280,11281,9,0,-9
117,11353,11354,9,0,-9
118,11452,11453,9,0,-9
119,11682,11683,9,0,-9
120,11745,11746,9,0,-9
121,11847,11848,9,0,-9
122,11947,11948,9,0,-9
123,11992,11993,9,0,-9
124,12179,12180,9,0,-9
125,12320,12321,9,0,-9
126,12496,12497,9,0,-9
127,12515,12516,9,0,-9
128,12651,12652,9,0,-9
129,12669,12670,9,0,-9
130,12868,12869,9,0,-9
131,12925,12926,9,0,-9
132,12946,12947,9,0,-9
133,13012,13013,9,0,-9
134,13028,13029,9,0,-9
135,13032,13033,9,0,-9
136,13096,13097,9,0,-9
137,13116,13117,9,0,-9
138,13728,13729,9,0,-9
139,13763,13764,9,0,-9
140,13768,13769,9,0,-9
141,13797,13798,9,0,-9
142,13806,13807,9,0,-9
143,13871,13872,9,0,-9
144,14058,14059,9,0,-9
145,14164,14165,9,0,-9
146,14281,14282,9,0,-9
147,14324,14325,9,0,-9
148,14667,14668,9,0,-9
149,14716,14717,9,0,-9
150,14816,14817,9,0,-9
151,14943,14944,9,0,-9
152,15063,15064,9,0,-9
153,15381,15382,9,0,-9
154,15503,15504,9,0,-9
155,15541,15542,9,0,-9
156,15693,15694,9,0,-9
157,15827,15828,9,0,-9
158,15881,15882,9,0,-9
159,15970,15971,9,0,-9
160,15991,15992,9,0,-9
161,16082,16083,9,0,-9
162,16201,16202,9,0,-9
163,16422,16423,9,0,-9
164,16515,16516,9,0,-9
165,16522,16523,9,0,-9
166,16617,16618,9,0,-9
167,16704,16705,9,0,-9
168,16776,16777,9,0,-9
169,16816,16817,9,0,-9
170,17002,17003,9,0,-9
171,17107,17108,9,0,-9
172,17186,17187,9,0,-9
173,17235,17236,9,0,-9
174,17410,17411,9,0,-9
175,17475,17476,9,0,-9
176,17517,17518,9,0,-9
177,17692,17693,9,0,-9
178,17708,17709,9,0,-9
179,17737,17738,9,0,-9
180,17827,17828,9,0,-9
181,18021,18022,9,0,-9
182,18027,18028,9,0,-9
183,18111,18112,9,0,-9
184,18131,18132,9,0,-9
185,18211,18212,9,0,-9
186,18277,18278,9,0,-9
187,18506,18507,9,0,-9
188,18562,18563,9,0,-9
189,18598,18599,9,0,-9
190,18602,18603,9,0,-9
191,18935,18936,9,0,-9
192,19007,19008,9,0,-9
193,19126,19127,9,0,-9
194,19178,19179,9,0,-9
195,19239,19240,9,0,-9
196,19359,19360,9,0,-9
197,19546,19547,9,0,-9
198,19644,19645,9,0,-9
199,19743,19744,9,0,-9
200,19785,19786,9,0,-9
201,19860,19861,9,0,-9
202,19914,19915,9,0,-9
203,19934,19935,9,0,-9
204,20084,20085,9,0,-9
205,20138,20139,9,0,-9
206,20282,20283,9,0,-9
207,20333,20334,9,0,-9
208,20462,20463,9,0,-9
209,20641,20642,9,0,-9
210,20644,20645,9,0,-9
211,20750,20751,9,0,-9
212,20826,20827,9,0,-9
213,20982,20983,9,0,-9
214,21639,21640,9,0,-9
215,21657,21658,9,0,-9
216,21897,21898,9,0,-9
217,21969,21970,9,0,-9
218,22110,22111,9,0,-9
219,22195,22196,9,0,-9
220,22223,22224,9,0,-9
221,22296,22297,9,0,-9
222,22305,22306,9,0,-9
223,22316,22317,9,0,-9
224,22948,22949,9,0,-9
225,23278,23279,9,0,-9
226,23314,23315,9,0,-9
227,23366,23367,9,0,-9
228,23463,23464,9,0,-9
229,23738,23739,9,0,-9
230,23772,23773,9,0,-9
231,23990,23991,9,0,-9
232,24071,24072,9,0,-9
233,24211,24212,9,0,-9
234,24319,24320,9,0,-9
235,24387,24388,9,0,-9
236,24398,24399,9,0,-9
237,24494,24495,9,0,-9
238,24775,24776,9,0,-9
239,24860,24861,9,0,-9
240,24891,24892,9,0,-9
241,25277,25278,9,0,-9
242,25303,25304,9,0,-9
243,25343,25344,9,0,-9
244,25385,25386,9,0,-9
245,25432,25433,9,0,-9
246,25528,25529,9,0,-9
247,25625,25626,9,0,-9
248,25706,25707,9,0,-9
249,26116,26117,9,0,-9
250,26177,26178,9,0,-9
251,26259,26260,9,0,-9
252,26276,26277,9,0,-9
253,26314,26315,9,0,-9
254,26426,26427,9,0,-9
255,26730,26731,9,0,-9
256,26839,26840,9,0,-9
